"Description (English)","Description (français)","GSIN Description (English)","Description du NIBS (français)","GSIN Code/Code NIBS","Vendor Legal Name/Dénomination sociale du fournisseur","Vendor Operating Name/Nom commercial du fournisseur","End User","Utilisateur final","Start Date/Date de début","End Date/Date de fin","Delivery Point Code/Code du point de livraison","Delivery Point (English)","Point de livraison (français)","Agreement Type (English)","Type d'accord (français)","Standing Offer Number/Numéro d'accord"
"Storage Tank Systems Compliance","Conformité des systèmes de réservoir de stockage","Environmental Services","Services environnementaux",E199D,"Stantec Consulting Ltd.","Stantec Consulting Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2010-04-12,2013-04-11,BC,"British Columbia",Colombie-Britannique,RISO,OCIR,E0276-083132/002/XSB
"Storage Tank Systems Compliance","Conformité des systèmes de réservoir de stockage","Environmental Services","Services environnementaux",E199D,"DST CONSULTING ENGINEERS INC.","DST CONSULTING ENGINEERS INC.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2010-04-12,2013-04-11,BC,"British Columbia",Colombie-Britannique,RISO,OCIR,E0276-083132/003/XSB
"Phase 1, 2 and 3 Environmental Site","Phase 1, 2 et 3 - Site environnemental","Environmental Services","Services environnementaux",E199D,Hemmera,"Hemmera Envirochem Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2010-10-01,2013-09-30,BC,"British Columbia",Colombie-Britannique,RISO,OCIR,E0276-092730/001/XSB
"Phase 1, 2 and 3 Environmental Site","Phase 1, 2 et 3 - Site environnemental","Environmental Services","Services environnementaux",E199D,"Golder Associates Ltd.","Golder Associates Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2010-10-01,2013-09-30,BC,"British Columbia",Colombie-Britannique,RISO,OCIR,E0276-092730/002/XSB
"Phase 1, 2 and 3 Environmental Site","Phase 1, 2 et 3 - Site environnemental","Environmental Services","Services environnementaux",E199D,"Franz Environmental Inc.","Franz Environmental Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2010-10-01,2013-09-30,BC,"British Columbia",Colombie-Britannique,RISO,OCIR,E0276-092730/003/XSB
"Phase 1, 2 and 3 Environmental Site","Phase 1, 2 et 3 - Site environnemental","Environmental Services","Services environnementaux",E199D,"Keystone Environmental Ltd.","Keystone Environmental Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2010-10-01,2013-09-30,BC,"British Columbia",Colombie-Britannique,RISO,OCIR,E0276-092730/004/XSB
"Phase 1, 2 and 3 Environmental Site","Phase 1, 2 et 3 - Site environnemental","Environmental Services","Services environnementaux",E199D,"SLR CONSULTING (CANADA) LTD.","SLR CONSULTING (CANADA) LTD.(Victoria)","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2010-10-01,2013-09-30,BC,"British Columbia",Colombie-Britannique,RISO,OCIR,E0276-092730/005/XSB
"Phase 1, 2 and 3 Environmental Site","Phase 1, 2 et 3 - Site environnemental","Environmental Services","Services environnementaux",E199D,"SNC-Lavalin Inc.","SNC-Lavalin Inc., Environment Division","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2010-10-01,2013-09-30,BC,"British Columbia",Colombie-Britannique,RISO,OCIR,E0276-092730/006/XSB
"Phase 1, 2 & 3 Aboriginal Set Aside","Phase 1, 2 et 3 - Entreprises autochtones","Environmental Services","Services environnementaux",E199D,"CLAW ENVIRONMENTAL SERVICES INC","CLAW ENVIRONMENTAL SERVICES INC","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2010-10-01,2013-09-30,BC,"British Columbia",Colombie-Britannique,RISO,OCIR,E0276-092730/007/XSB
"Environmental Audits","Vérifications environnementales","Environmental Services","Services environnementaux",E199D,"Jacques Whitford Stantec Limited / Jacques Whitford Stantec Limitée","Jacques Whitford Stantec Limited / Jacques Whitford Stantec Limitée","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2009-10-01,2013-03-30,BC,"British Columbia",Colombie-Britannique,RISO,OCIR,E0276-092864/001/XSB
"Environmental Audits","Vérifications environnementales","Environmental Services","Services environnementaux",E199D,"Keystone Environmental Ltd.","Keystone Environmental Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2009-10-01,2013-03-30,BC,"British Columbia",Colombie-Britannique,RISO,OCIR,E0276-092864/002/XSB
"Environmental Audits","Vérifications environnementales","Environmental Services","Services environnementaux",E199D,"Keystone Environmental Ltd.","Keystone Environmental Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2009-10-01,2013-03-30,YT,Yukon,Yukon,RISO,OCIR,E0276-092864/002/XSB
"LESS LETHAL AMMUNITION","Munition moins létale","Ammunition and Explosives","Munitions et artifices",N1310,"R NICHOLLS DISTRIBUTORS INC LE","R NICHOLLS DISTRIBUTORS INC LE","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-08-07,2013-07-31,NA,National,Nationale,NMSO,OCPN,E60BK-08RIOT/001/BK
"AMMUNITION BULK BUY","ACHATS DE MUNITION EN VRAC","Ammunition and Explosives","Munitions et artifices",N1310,"OLIN CORPORATION - WINCHESTER DIVISION","OLIN CORPORATION WINCHESTER DIVISION","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-10-04,2013-10-04,NA,National,Nationale,NMSO,OCPN,E60BK-110001/001/BK
"AMMUNITION BULK BUY","ACHATS DE MUNITION EN VRAC","Ammunition and Explosives","Munitions et artifices",N1310,"R NICHOLLS DISTRIBUTORS INC LE","R NICHOLLS DISTRIBUTORS INC LE","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-21,2013-09-21,AB,Alberta,Alberta,NMSO,OCPN,E60BK-120002/001/BK
"AMMUNITION BULK BUY","ACHATS DE MUNITION EN VRAC","Ammunition and Explosives","Munitions et artifices",N1310,"R NICHOLLS DISTRIBUTORS INC LE","R NICHOLLS DISTRIBUTORS INC LE","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-21,2013-09-21,BC,"British Columbia",Colombie-Britannique,NMSO,OCPN,E60BK-120002/001/BK
"AMMUNITION BULK BUY","ACHATS DE MUNITION EN VRAC","Ammunition and Explosives","Munitions et artifices",N1310,"R NICHOLLS DISTRIBUTORS INC LE","R NICHOLLS DISTRIBUTORS INC LE","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-21,2013-09-21,MB,Manitoba,Manitoba,NMSO,OCPN,E60BK-120002/001/BK
"AMMUNITION BULK BUY","ACHATS DE MUNITION EN VRAC","Ammunition and Explosives","Munitions et artifices",N1310,"R NICHOLLS DISTRIBUTORS INC LE","R NICHOLLS DISTRIBUTORS INC LE","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-21,2013-09-21,NC,"National Capital Region","Region de Capitale Nationale",NMSO,OCPN,E60BK-120002/001/BK
"AMMUNITION BULK BUY","ACHATS DE MUNITION EN VRAC","Ammunition and Explosives","Munitions et artifices",N1310,"R NICHOLLS DISTRIBUTORS INC LE","R NICHOLLS DISTRIBUTORS INC LE","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-21,2013-09-21,NB,"New Brunswick",Nouveau-Brunswick,NMSO,OCPN,E60BK-120002/001/BK
"AMMUNITION BULK BUY","ACHATS DE MUNITION EN VRAC","Ammunition and Explosives","Munitions et artifices",N1310,"R NICHOLLS DISTRIBUTORS INC LE","R NICHOLLS DISTRIBUTORS INC LE","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-21,2013-09-21,NL,"Newfoundland & Labrador",Terre-Neuve,NMSO,OCPN,E60BK-120002/001/BK
"AMMUNITION BULK BUY","ACHATS DE MUNITION EN VRAC","Ammunition and Explosives","Munitions et artifices",N1310,"R NICHOLLS DISTRIBUTORS INC LE","R NICHOLLS DISTRIBUTORS INC LE","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-21,2013-09-21,NS,"Nova Scotia",Nouvelle-Écosse,NMSO,OCPN,E60BK-120002/001/BK
"AMMUNITION BULK BUY","ACHATS DE MUNITION EN VRAC","Ammunition and Explosives","Munitions et artifices",N1310,"R NICHOLLS DISTRIBUTORS INC LE","R NICHOLLS DISTRIBUTORS INC LE","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-21,2013-09-21,ON,Ontario,Ontario,NMSO,OCPN,E60BK-120002/001/BK
"AMMUNITION BULK BUY","ACHATS DE MUNITION EN VRAC","Ammunition and Explosives","Munitions et artifices",N1310,"R NICHOLLS DISTRIBUTORS INC LE","R NICHOLLS DISTRIBUTORS INC LE","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-21,2013-09-21,QC,Québec,Québec,NMSO,OCPN,E60BK-120002/001/BK
"AMMUNITION BULK BUY","ACHATS DE MUNITION EN VRAC","Ammunition and Explosives","Munitions et artifices",N1310,"R NICHOLLS DISTRIBUTORS INC LE","R NICHOLLS DISTRIBUTORS INC LE","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-21,2013-09-21,SK,Saskatchewan,Saskatchewan,NMSO,OCPN,E60BK-120002/001/BK
"Sig Sauer Ubase14711","Sig Sauer Ubase14711",Weapons,Armement,N1005,"R Nicholls Distributors Inc/Les distributeurs R Nicholls inc","R Nicholls Distributors Inc/Les distributeurs R Nicholls inc","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-05-09,2014-05-09,ON,Ontario,Ontario,NMSO,OCPN,E60BM-120001/001/BM
"Cleaning Equipment","Équipement de nettoyage",Weapons,Armement,N1005,"RTI RESEARCH LTD.","RTI RESEARCH LTD.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-08-14,2013-12-31,AB,Alberta,Alberta,NMSO,OCPN,E60BM-120012/001/BM
"MANAGEMENT PRINT SOLUTION","GESTION DES SOLUTIONS D'IMPRESSION","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R122C,"Compugen Inc.","Compugen Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-04-25,2013-03-31,NA,National,Nationale,SA,AMA,E60CY-07MPSA/001/CW
"MANAGEMENT PRINT SOLUTION","GESTION DES SOLUTIONS D'IMPRESSION","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R122C,"Hewlett-Packard (Canada) Co. Hewlett-Packard (Canada) Cie","Hewlett-Packard (Canada) Co. Hewlett-Packard (Canada) Cie","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-04-25,2013-03-31,NA,National,Nationale,SA,AMA,E60CY-07MPSA/002/CW
"MANAGEMENT PRINT SOLUTION","GESTION DES SOLUTIONS D'IMPRESSION","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R122C,"4 Office Automation Ltd.","4 Office Automation Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2009-06-22,2013-03-31,NA,National,Nationale,SA,AMA,E60CY-07MPSA/003/CW
"MANAGEMENT PRINT SOLUTION","GESTION DES SOLUTIONS D'IMPRESSION","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R122C,"Ricoh Canada Inc.","Ricoh Canada Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-04-25,2013-03-31,NA,National,Nationale,SA,AMA,E60CY-07MPSA/004/CW
"MANAGEMENT PRINT SOLUTION","GESTION DES SOLUTIONS D'IMPRESSION","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R122C,"Independent Print Management Group Incorporated",IPMG,"Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-05-02,2013-03-31,NA,National,Nationale,SA,AMA,E60CY-07MPSA/005/CW
"MANAGEMENT PRINT SOLUTION","GESTION DES SOLUTIONS D'IMPRESSION","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R122C,"The Print Operations Group Inc.","The Print Operations Group Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2009-06-22,2013-03-31,NA,National,Nationale,SA,AMA,E60CY-07MPSA/006/CW
"MANAGEMENT PRINT SOLUTION","GESTION DES SOLUTIONS D'IMPRESSION","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R122C,"Sharp Electronics of Canada Ltd.","Sharp Electronics of Canada","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-03-09,2013-03-31,NA,National,Nationale,SA,AMA,E60CY-07MPSA/007/CW
"MANAGEMENT PRINT SOLUTION","GESTION DES SOLUTIONS D'IMPRESSION","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R122C,"Xerox Canada Ltd.","Xerox Canada Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-04-25,2013-03-31,NA,National,Nationale,SA,AMA,E60CY-07MPSA/009/CW
"MANAGEMENT PRINT SOLUTION","GESTION DES SOLUTIONS D'IMPRESSION","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R122C,"Integrated Print Management Inc.","Integrated Print Management Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2009-06-22,2013-03-31,NA,National,Nationale,SA,AMA,E60CY-07MPSA/010/CW
"MANAGEMENT PRINT SOLUTION","GESTION DES SOLUTIONS D'IMPRESSION","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R122C,"Lexmark Canada Inc.","Lexmark Canada Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-12-19,2013-03-31,NA,National,Nationale,SA,AMA,E60CY-07MPSA/012/VAN
"Dell NMSO Desktop / Notebook / Server","OCPN - Ordinateurs de bureau, ordinateurs portatifs et serveurs Dell","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Dell Canada Inc.","Dell Canada Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-01-29,2013-03-31,NA,National,Nationale,NMSO,OCPN,E60EJ-07000M/002/EJ
"HP NMSO (Desktop/Laptop/Server/TC)","OCPN - Ordinateurs de bureau, ordinateurs portatifs, serveurs et tablettes électroniques HP","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Hewlett-Packard (Canada) Co. Hewlett-Packard (Canada) Cie","Hewlett-Packard (Canada) Co. Hewlett-Packard (Canada) Cie","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-01-30,2013-03-31,NA,National,Nationale,NMSO,OCPN,E60EJ-07000M/003/EJ
"IBM NMSO Servers","OCPN - Serveurs IBM","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"IBM Canada Ltd.","IBM Canada Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-03-28,2013-03-31,NA,National,Nationale,NMSO,OCPN,E60EJ-07000M/004/EJ
"MASS STORAGE - SAN NMSO","MÉMOIRE DE GRANDE CAPACITÉ - RÉSEAU DE STOCKAGE - OCPN","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7025,"EMC CORPORATION","EMC CORPORATION","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-06-02,2013-06-02,FD,Foreign,Foreign,NMSO,OCPN,E60EJ-07000S/001/EJ
"MASS STORAGE - SAN NMSO","MÉMOIRE DE GRANDE CAPACITÉ - RÉSEAU DE STOCKAGE - OCPN","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7025,"EMC CORPORATION","EMC CORPORATION","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-06-02,2013-06-02,NA,National,Nationale,NMSO,OCPN,E60EJ-07000S/001/EJ
"MASS STORAGE - SAN NMSO","MÉMOIRE DE GRANDE CAPACITÉ - RÉSEAU DE STOCKAGE - OCPN","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7025,"Hewlett-Packard (Canada) Co. Hewlett-Packard (Canada) Cie","Hewlett-Packard (Canada) Co. Hewlett-Packard (Canada) Cie","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-06-02,2013-06-02,FD,Foreign,Foreign,NMSO,OCPN,E60EJ-07000S/002/EJ
"MASS STORAGE - SAN NMSO","MÉMOIRE DE GRANDE CAPACITÉ - RÉSEAU DE STOCKAGE - OCPN","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7025,"Hewlett-Packard (Canada) Co. Hewlett-Packard (Canada) Cie","Hewlett-Packard (Canada) Co. Hewlett-Packard (Canada) Cie","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-06-02,2013-06-02,NA,National,Nationale,NMSO,OCPN,E60EJ-07000S/002/EJ
"MASS STORAGE - SAN NMSO","MÉMOIRE DE GRANDE CAPACITÉ - RÉSEAU DE STOCKAGE - OCPN","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7025,"Hitachi Data Systems Inc.","Hitachi Data Systems Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-06-02,2013-06-02,FD,Foreign,Foreign,NMSO,OCPN,E60EJ-07000S/003/EJ
"MASS STORAGE - SAN NMSO","MÉMOIRE DE GRANDE CAPACITÉ - RÉSEAU DE STOCKAGE - OCPN","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7025,"Hitachi Data Systems Inc.","Hitachi Data Systems Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-06-02,2013-06-02,NA,National,Nationale,NMSO,OCPN,E60EJ-07000S/003/EJ
"MASS STORAGE - SAN NMSO","MÉMOIRE DE GRANDE CAPACITÉ - RÉSEAU DE STOCKAGE - OCPN","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7025,"IBM Canada Ltd.","IBM Canada Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-06-02,2013-06-02,FD,Foreign,Foreign,NMSO,OCPN,E60EJ-07000S/004/EJ
"MASS STORAGE - SAN NMSO","MÉMOIRE DE GRANDE CAPACITÉ - RÉSEAU DE STOCKAGE - OCPN","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7025,"IBM Canada Ltd.","IBM Canada Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-06-02,2013-06-02,NA,National,Nationale,NMSO,OCPN,E60EJ-07000S/004/EJ
"MASS STORAGE - SAN NMSO","MÉMOIRE DE GRANDE CAPACITÉ - RÉSEAU DE STOCKAGE - OCPN","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7025,"Network Appliance Canada Ltd.","Network Appliance Canada Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-06-02,2013-06-02,FD,Foreign,Foreign,NMSO,OCPN,E60EJ-07000S/005/EJ
"MASS STORAGE - SAN NMSO","MÉMOIRE DE GRANDE CAPACITÉ - RÉSEAU DE STOCKAGE - OCPN","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7025,"Network Appliance Canada Ltd.","Network Appliance Canada Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-06-02,2013-06-02,NA,National,Nationale,NMSO,OCPN,E60EJ-07000S/005/EJ
"MASS STORAGE - SAN NMSO","MÉMOIRE DE GRANDE CAPACITÉ - RÉSEAU DE STOCKAGE - OCPN","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7025,"Storageflex Inc.","Storageflex Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-06-02,2013-06-02,FD,Foreign,Foreign,NMSO,OCPN,E60EJ-07000S/007/EJ
"MASS STORAGE - SAN NMSO","MÉMOIRE DE GRANDE CAPACITÉ - RÉSEAU DE STOCKAGE - OCPN","General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7025,"Storageflex Inc.","Storageflex Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2008-06-02,2013-06-02,NA,National,Nationale,NMSO,OCPN,E60EJ-07000S/007/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Hewlett-Packard (Canada) Co. Hewlett-Packard (Canada) Cie","Hewlett-Packard (Canada) Co. Hewlett-Packard (Canada) Cie","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-05-26,2015-05-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/001/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"IBM Canada Ltd","IBM Canada Ltd","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-05-26,2015-05-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/002/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Maplesoft Technology Inc.","Maplesoft Group","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-05-26,2014-03-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/003/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Asus Computer International","Asus Computer International","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-10-14,2015-10-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/004/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Dell Canada Inc.","Dell Canada Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-10-14,2015-10-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/005/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"LENOVO (Canada) Inc.","LENOVO (Canada) Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-10-14,2015-10-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/007/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Toshiba of Canada Ltd.","Toshiba of Canada Limited","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-10-14,2015-10-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/008/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Northern Micro Inc","Northern Micro","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-12-23,2015-12-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/009/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Samsung Electronics Canada Inc.","Samsung Electronics Canada Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-12-23,2015-12-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/010/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"TeraMach Technologies Inc.","TeraMach Technologies Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-12-23,2015-12-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/011/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Wyse Technology Inc.","Wyse Technology Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-12-23,2015-12-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/012/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Hypertechnologies Ciara Inc.","Ciara Technologies","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-01-13,2015-01-30,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/013/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Cisco Systems Canada Co.","Cisco Systems Canada Co.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-03-09,2014-03-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/014/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Advanced Chippewa Technologies Inc.","ACT inc","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-02-03,2014-03-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/015/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"DONNA CONA INC.","DONNA CONA INC.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-02-17,2014-03-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/016/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Mishkumi Technologies Inc.","Mishkumi Technologies Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-02-17,2014-03-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/017/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Nisha Technologies Inc.","Nisha Technologies Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-02-03,2014-03-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/018/EJ
COMPUTERS,ORDINATEURS,"General Purpose Computer Equipment (Including Firmware), Software, Supplies","Équipement pour le traîtement automatique de données à usage général, logiciel, compr",N7010,"Shaymas Information Systems Inc.","Shaymas Information Systems Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-02-03,2014-03-31,NA,National,Nationale,NMSO,OCPN,E60EJ-11000C/019/EJ
